timestamp,btc_exchange_netflow
1577750400000.0,131.91
1577763600000.0,-449.05
1577787300000.0,240.73
1577803800000.0,1099.48
1577806200000.0,-322.67
1577814900000.0,-162.4
1577830800000.0,36.55
1577849100000.0,-552.88
1577877900000.0,248.04
1577894400000.0,-887.67
1577919300000.0,-236.83
1577936700000.0,250.53
1577949900000.0,-713.97
1577960400000.0,-930.73
1577973600000.0,-286.09
1577983800000.0,992.09
1577985300000.0,101.65
1577993400000.0,182.59
1578011700000.0,-664.62
1578018300000.0,-876.39
1578025800000.0,-699.9
1578027000000.0,298.53
1578031500000.0,-556.58
1578040800000.0,437.13
1578042900000.0,-267.99
1578047100000.0,-794.67
1578054300000.0,-190.69
1578060600000.0,-734.81
1578067500000.0,403.55
1578070200000.0,255.05
1578077700000.0,-459.42
1578085800000.0,92.33
1578094500000.0,-84.93
1578112200000.0,-995.94
1578127200000.0,-602.83
1578141300000.0,-909.34
1578156300000.0,333.16
1578163800000.0,-36.08
1578169500000.0,72.73
1578185100000.0,-789.18
1578188100000.0,-198.22
1578195600000.0,-508.31
1578208500000.0,37.95
1578218400000.0,462.02
1578231600000.0,119.39
1578244200000.0,-5.09
1578260100000.0,-488.82
1578267300000.0,-599.92
1578276300000.0,-110.62
1578279300000.0,81.16
1578282000000.0,-137.81
1578291900000.0,285.83
1578305700000.0,-333.86
1578315300000.0,-873.04
1578319500000.0,468.01
1578327900000.0,151.38
1578344400000.0,-797.94
1578349500000.0,-730.7
1578351000000.0,307.73
1578353400000.0,-486.85
1578355800000.0,180.85
1578357300000.0,1542.12
1578358800000.0,-302.46
1578363600000.0,-228.11
1578371700000.0,451.31
1578380700000.0,275.0
1578391800000.0,-368.33
1578398400000.0,-513.42
1578402300000.0,-386.79
1578408600000.0,1388.44
1578412500000.0,169.34
1578414600000.0,-570.06
1578417300000.0,-529.57
1578421200000.0,-449.84
1578422400000.0,-202.63
1578424800000.0,462.02
1578429300000.0,-984.48
1578431700000.0,573.78
1578434100000.0,492.34
1578437100000.0,-796.01
1578441000000.0,324.53
1578442500000.0,-609.83
1578444300000.0,83.43
1578445500000.0,-812.4
1578447900000.0,87.08
1578450900000.0,1784.68
1578453900000.0,-116.78
1578459000000.0,-559.63
1578465900000.0,-164.9
1578472500000.0,-854.01
1578479400000.0,-358.91
1578488100000.0,-277.08
1578490500000.0,1066.86
1578492900000.0,-975.75
1578496200000.0,-855.65
1578499500000.0,-258.24
1578501300000.0,1114.71
1578501900000.0,220.18
1578503400000.0,-8.83
1578505500000.0,134.65
1578511800000.0,1824.68
1578514200000.0,363.01
1578516600000.0,-762.84
1578521100000.0,-970.26
1578527700000.0,1765.4
1578531600000.0,-511.55
1578541200000.0,-414.45
1578550500000.0,-614.86
1578558000000.0,-828.41
1578563700000.0,-209.33
1578569400000.0,-326.39
1578576000000.0,-899.34
1578584700000.0,549.61
1578588900000.0,-4.05
1578593700000.0,232.01
1578600000000.0,920.85
1578603300000.0,-519.68
1578605700000.0,311.56
1578613200000.0,-744.64
1578624900000.0,-333.59
1578636000000.0,-7.35
1578643200000.0,-3.47
1578648900000.0,-476.69
1578653400000.0,307.89
1578656400000.0,176.2
1578660600000.0,-227.6
1578664200000.0,109.91
1578667200000.0,-56.98
1578669600000.0,-335.09
1578672300000.0,518.57
1578673800000.0,-749.15
1578676500000.0,-247.05
1578679800000.0,-567.65
1578682200000.0,-984.51
1578684600000.0,-438.19
1578689700000.0,-135.86
1578693600000.0,100.21
1578700200000.0,275.56
1578704400000.0,-681.6
1578708900000.0,-37.4
1578716700000.0,-920.87
1578724200000.0,-861.53
1578730200000.0,171.05
1578738600000.0,-857.12
1578745500000.0,-961.62
1578753900000.0,-390.66
1578760500000.0,-338.57
1578765900000.0,31.09
1578778800000.0,1993.27
1578780000000.0,-574.45
1578784500000.0,-209.06
1578789300000.0,-571.39
1578800100000.0,-838.86
1578814500000.0,370.43
1578825300000.0,-138.78
1578838200000.0,-131.44
1578848700000.0,-850.12
1578850500000.0,-809.84
1578860700000.0,-209.32
1578873600000.0,754.37
1578886500000.0,-551.34
1578901200000.0,457.65
1578916800000.0,128.4
1578930900000.0,-902.94
1578948300000.0,346.01
1578961800000.0,229.5
1578963300000.0,220.88
1578964800000.0,289.2
1578966600000.0,-626.7
1578971100000.0,-894.88
1578974700000.0,-986.76
1578978600000.0,257.31
1578985800000.0,-358.27
1578995100000.0,-645.57
1579002000000.0,-718.12
1579005600000.0,-962.34
1579008900000.0,-330.94
1579011600000.0,257.44
1579012800000.0,-879.26
1579015500000.0,1618.62
1579017900000.0,-691.0
1579020300000.0,376.14
1579021800000.0,-551.96
1579024200000.0,-941.77
1579026600000.0,-897.7
1579029000000.0,247.57
1579035900000.0,-77.61
1579044300000.0,-79.55
1579046700000.0,-877.64
