timestamp,btc_exchange_stablecoins_ratio
1577750400000.0,11.4667
1577763600000.0,9.6591
1577787300000.0,9.9913
1577803800000.0,8.335
1577806200000.0,12.0777
1577814900000.0,9.2832
1577830800000.0,9.5062
1577849100000.0,10.0387
1577877900000.0,10.7619
1577894400000.0,10.6623
1577919300000.0,10.6146
1577936700000.0,9.7255
1577949900000.0,10.1394
1577960400000.0,10.5108
1577973600000.0,11.249
1577983800000.0,8.9693
1577985300000.0,10.3679
1577993400000.0,10.509
1578011700000.0,11.005
1578018300000.0,8.4622
1578025800000.0,10.5774
1578027000000.0,11.5122
1578031500000.0,9.3674
1578040800000.0,8.5562
1578042900000.0,9.8614
1578047100000.0,10.2608
1578054300000.0,9.7033
1578060600000.0,9.6376
1578067500000.0,10.8385
1578070200000.0,10.6085
1578077700000.0,10.6666
1578085800000.0,9.3487
1578094500000.0,9.7101
1578112200000.0,10.9336
1578127200000.0,10.244
1578141300000.0,10.5825
1578156300000.0,9.31
1578163800000.0,10.6377
1578169500000.0,9.9558
1578185100000.0,9.3231
1578188100000.0,8.9177
1578195600000.0,9.5181
1578208500000.0,9.7538
1578218400000.0,9.9588
1578231600000.0,9.953
1578244200000.0,9.8179
1578260100000.0,9.8092
1578267300000.0,11.1112
1578276300000.0,11.0198
1578279300000.0,10.5096
1578282000000.0,10.5864
1578291900000.0,12.1358
1578305700000.0,11.2651
1578315300000.0,10.0814
1578319500000.0,9.7686
1578327900000.0,10.4275
1578344400000.0,10.2097
1578349500000.0,8.5663
1578351000000.0,11.4039
1578353400000.0,9.1874
1578355800000.0,10.7688
1578357300000.0,10.7799
1578358800000.0,9.3563
1578363600000.0,8.7078
1578371700000.0,8.9432
1578380700000.0,10.0857
1578391800000.0,9.9026
1578398400000.0,8.7138
1578402300000.0,9.3803
1578408600000.0,10.038
1578412500000.0,9.9773
1578414600000.0,9.1852
1578417300000.0,9.8305
1578421200000.0,8.4915
1578422400000.0,9.6997
1578424800000.0,10.4853
1578429300000.0,8.3058
1578431700000.0,10.1463
1578434100000.0,8.9956
1578437100000.0,9.8722
1578441000000.0,11.3495
1578442500000.0,10.7093
1578444300000.0,9.0739
1578445500000.0,9.6379
1578447900000.0,9.3702
1578450900000.0,8.7875
1578453900000.0,10.5426
1578459000000.0,10.039
1578465900000.0,10.2418
1578472500000.0,10.7036
1578479400000.0,10.999
1578488100000.0,9.9479
1578490500000.0,8.0481
1578492900000.0,9.6324
1578496200000.0,9.6414
1578499500000.0,13.6352
1578501300000.0,9.9375
1578501900000.0,10.2726
1578503400000.0,11.0402
1578505500000.0,10.6157
1578511800000.0,8.6892
1578514200000.0,11.3674
1578516600000.0,11.2026
1578521100000.0,11.2857
1578527700000.0,10.7878
1578531600000.0,8.6443
1578541200000.0,9.9073
1578550500000.0,10.2111
1578558000000.0,11.0055
1578563700000.0,10.1246
1578569400000.0,10.0122
1578576000000.0,9.4724
1578584700000.0,10.2949
1578588900000.0,10.8613
1578593700000.0,10.588
1578600000000.0,8.9895
1578603300000.0,8.5359
1578605700000.0,10.6727
1578613200000.0,10.1305
1578624900000.0,9.0852
1578636000000.0,10.9358
1578643200000.0,10.3237
1578648900000.0,12.7469
1578653400000.0,10.4529
1578656400000.0,10.0327
1578660600000.0,11.6087
1578664200000.0,9.6146
1578667200000.0,9.6084
1578669600000.0,8.8853
1578672300000.0,9.8816
1578673800000.0,9.8591
1578676500000.0,10.373
1578679800000.0,12.1426
1578682200000.0,9.7461
1578684600000.0,9.7006
1578689700000.0,7.9411
1578693600000.0,11.8862
1578700200000.0,10.0793
1578704400000.0,9.0124
1578708900000.0,9.4021
1578716700000.0,10.0428
1578724200000.0,9.4626
1578730200000.0,9.896
