timestamp,btc_fund_flow_ratio
1577750400000.0,0.0531
1577763600000.0,0.0399
1577787300000.0,0.031
1577803800000.0,0.0441
1577806200000.0,0.0491
1577814900000.0,0.0515
1577830800000.0,0.0475
1577849100000.0,0.0484
1577877900000.0,0.0542
1577894400000.0,0.0314
1577919300000.0,0.0544
1577936700000.0,0.0486
1577949900000.0,0.0434
1577960400000.0,0.0485
1577973600000.0,0.0445
1577983800000.0,0.0502
1577985300000.0,0.0483
1577993400000.0,0.0498
1578011700000.0,0.0488
1578018300000.0,0.0559
1578025800000.0,0.0311
1578027000000.0,0.0448
1578031500000.0,0.052
1578040800000.0,0.0576
1578042900000.0,0.0431
1578047100000.0,0.071
1578054300000.0,0.0465
1578060600000.0,0.0572
1578067500000.0,0.0598
1578070200000.0,0.062
1578077700000.0,0.0509
1578085800000.0,0.0549
1578094500000.0,0.0375
1578112200000.0,0.0578
1578127200000.0,0.0522
1578141300000.0,0.0468
1578156300000.0,0.0583
1578163800000.0,0.0397
1578169500000.0,0.0568
1578185100000.0,0.0503
1578188100000.0,0.0443
1578195600000.0,0.0478
1578208500000.0,0.0571
1578218400000.0,0.0443
1578231600000.0,0.046
1578244200000.0,0.0745
1578260100000.0,0.0465
1578267300000.0,0.0474
1578276300000.0,0.0595
1578279300000.0,0.0377
1578282000000.0,0.0582
1578291900000.0,0.0513
1578305700000.0,0.0222
1578315300000.0,0.0668
1578319500000.0,0.0412
1578327900000.0,0.0463
1578344400000.0,0.0572
1578349500000.0,0.0572
1578351000000.0,0.0362
1578353400000.0,0.0428
1578355800000.0,0.0504
1578357300000.0,0.0545
1578358800000.0,0.0532
1578363600000.0,0.0354
1578371700000.0,0.0401
1578380700000.0,0.0514
1578391800000.0,0.0546
1578398400000.0,0.0474
1578402300000.0,0.0539
1578408600000.0,0.0637
1578412500000.0,0.0529
1578414600000.0,0.066
1578417300000.0,0.0488
1578421200000.0,0.0606
1578422400000.0,0.0483
1578424800000.0,0.0535
1578429300000.0,0.0258
1578431700000.0,0.0441
1578434100000.0,0.0419
1578437100000.0,0.0533
1578441000000.0,0.0589
1578442500000.0,0.0352
1578444300000.0,0.0363
1578445500000.0,0.038
1578447900000.0,0.064
1578450900000.0,0.0468
1578453900000.0,0.0394
1578459000000.0,0.0393
1578465900000.0,0.0573
1578472500000.0,0.0637
1578479400000.0,0.0474
1578488100000.0,0.0493
1578490500000.0,0.0542
1578492900000.0,0.0441
1578496200000.0,0.0579
1578499500000.0,0.0529
1578501300000.0,0.0452
1578501900000.0,0.0432
1578503400000.0,0.0454
1578505500000.0,0.057
1578511800000.0,0.0336
1578514200000.0,0.0498
1578516600000.0,0.0388
1578521100000.0,0.0535
1578527700000.0,0.0553
1578531600000.0,0.0539
1578541200000.0,0.0444
1578550500000.0,0.0553
1578558000000.0,0.0421
1578563700000.0,0.0693
1578569400000.0,0.0528
1578576000000.0,0.0474
1578584700000.0,0.0517
1578588900000.0,0.0458
1578593700000.0,0.0605
1578600000000.0,0.0406
1578603300000.0,0.0438
1578605700000.0,0.0488
1578613200000.0,0.0507
1578624900000.0,0.0561
1578636000000.0,0.0568
1578643200000.0,0.0516
1578648900000.0,0.059
1578653400000.0,0.0471
1578656400000.0,0.0522
1578660600000.0,0.0367
1578664200000.0,0.0515
1578667200000.0,0.044
1578669600000.0,0.0445
1578672300000.0,0.0597
1578673800000.0,0.0322
1578676500000.0,0.0627
1578679800000.0,0.0599
1578682200000.0,0.0437
1578684600000.0,0.0563
1578689700000.0,0.0508
1578693600000.0,0.0417
1578700200000.0,0.0552
1578704400000.0,0.0425
1578708900000.0,0.0535
1578716700000.0,0.0342
1578724200000.0,0.0513
1578730200000.0,0.0539
1578738600000.0,0.0261
1578745500000.0,0.038
1578753900000.0,0.0591
1578760500000.0,0.0439
1578765900000.0,0.0582
1578778800000.0,0.066
1578780000000.0,0.0389
1578784500000.0,0.056
1578789300000.0,0.0715
1578800100000.0,0.0538
1578814500000.0,0.0709
1578825300000.0,0.0663
1578838200000.0,0.0591
1578848700000.0,0.04
1578850500000.0,0.0341
1578860700000.0,0.0438
1578873600000.0,0.0348
1578886500000.0,0.0692
1578901200000.0,0.058
1578916800000.0,0.05
1578930900000.0,0.0337
1578948300000.0,0.0446
1578961800000.0,0.0528
1578963300000.0,0.0429
1578964800000.0,0.0482
1578966600000.0,0.0509
1578971100000.0,0.0491
1578974700000.0,0.0434
1578978600000.0,0.064
1578985800000.0,0.0505
1578995100000.0,0.0615
1579002000000.0,0.0417
1579005600000.0,0.0495
1579008900000.0,0.0494
1579011600000.0,0.0537
1579012800000.0,0.053
1579015500000.0,0.0343
1579017900000.0,0.0364
1579020300000.0,0.0364
1579021800000.0,0.0319
1579024200000.0,0.0362
1579026600000.0,0.0606
1579029000000.0,0.031
1579035900000.0,0.0432
1579044300000.0,0.0477
1579046700000.0,0.0389
1579048800000.0,0.0365
1579052100000.0,0.0465
1579058700000.0,0.0409
1579062300000.0,0.0496
1579065300000.0,0.0552
1579071600000.0,0.0529
1579079100000.0,0.0416
1579083600000.0,0.0597
1579088400000.0,0.0822
1579093200000.0,0.0316
1579096800000.0,0.0506
1579098000000.0,0.0518
1579100700000.0,0.048
1579103400000.0,0.0456
1579105200000.0,0.049
1579110300000.0,0.0372
1579116300000.0,0.0555
1579122300000.0,0.0355
1579129800000.0,0.0578
1579134300000.0,0.0517
1579137900000.0,0.0495
1579141800000.0,0.0539
1579147500000.0,0.0407
1579155600000.0,0.0328
1579163100000.0,0.0536
1579169400000.0,0.0475
1579175100000.0,0.0483
1579178700000.0,0.0441
1579182900000.0,0.0561
1579189200000.0,0.0514
1579194300000.0,0.0211
1579202100000.0,0.046
1579209900000.0,0.0506
1579221300000.0,0.05
1579229700000.0,0.0222
1579233900000.0,0.057
1579240200000.0,0.0617
1579242000000.0,0.0391
1579244700000.0,0.0476
1579248900000.0,0.0395
1579253400000.0,0.0521
1579256700000.0,0.0607
1579261800000.0,0.0467
1579264200000.0,0.0437
1579270200000.0,0.0631
1579275300000.0,0.0389
1579280100000.0,0.0697
1579286400000.0,0.0464
1579290900000.0,0.0506
1579298700000.0,0.0412
1579307100000.0,0.0424
1579313700000.0,0.0428
1579323000000.0,0.0566
1579331100000.0,0.0669
1579340100000.0,0.0328
1579350600000.0,0.0414
1579358700000.0,0.0368
1579364400000.0,0.0536
1579371000000.0,0.0516
1579385400000.0,0.0518
1579393500000.0,0.0498
1579395900000.0,0.0573
1579397700000.0,0.0471
1579400700000.0,0.0328
1579407000000.0,0.046
1579416600000.0,0.0411
1579422900000.0,0.0663
1579431300000.0,0.0511
1579431900000.0,0.0504
1579432800000.0,0.0448
1579434900000.0,0.0377
1579437300000.0,0.034
1579441800000.0,0.0507
1579449900000.0,0.0614
1579459500000.0,0.0456
1579469400000.0,0.0423
1579472400000.0,0.0637
1579476000000.0,0.0504
1579481100000.0,0.0518
1579488900000.0,0.0421
1579501200000.0,0.0676
1579512000000.0,0.0429
1579523100000.0,0.0362
1579527000000.0,0.0491
1579531500000.0,0.0542
1579537800000.0,0.0452
1579552800000.0,0.0663
1579561200000.0,0.0563
1579566300000.0,0.0572
1579583400000.0,0.0414
1579597200000.0,0.0688
1579610700000.0,0.0655
1579627500000.0,0.0577
1579635900000.0,0.0505
1579637400000.0,0.044
1579639500000.0,0.0551
1579642800000.0,0.0435
1579653300000.0,0.0373
1579675500000.0,0.0527
1579679100000.0,0.0608
1579683900000.0,0.0464
1579692300000.0,0.0399
1579703400000.0,0.0525
1579712100000.0,0.0472
1579721100000.0,0.0437
1579741800000.0,0.0641
1579748700000.0,0.0416
1579758000000.0,0.0629
1579764600000.0,0.0538
1579770000000.0,0.0665
1579773300000.0,0.0539
1579778400000.0,0.0728
1579781700000.0,0.0258
1579786200000.0,0.0517
1579790100000.0,0.0476
1579797900000.0,0.0533
1579804200000.0,0.0405
1579814700000.0,0.0532
1579824000000.0,0.0588
1579834800000.0,0.0509
1579845300000.0,0.0341
1579858200000.0,0.0457
