timestamp,btc_short_liquidations
1577750400000.0,10074.98
1577763600000.0,10010.4
1577787300000.0,60701.7
1577803800000.0,10068.38
1577806200000.0,10770.11
1577814900000.0,15681.7
1577830800000.0,30378.08
1577849100000.0,10304.23
1577877900000.0,3070.43
1577894400000.0,10248.69
1577919300000.0,10495.16
1577936700000.0,10502.84
1577949900000.0,33586.41
1577960400000.0,10398.45
1577973600000.0,12799.12
1577983800000.0,10821.1
1577985300000.0,14.87
1577993400000.0,10134.19
1578011700000.0,10601.66
1578018300000.0,60668.36
1578025800000.0,187769.27
1578027000000.0,10235.86
1578031500000.0,26233.64
1578040800000.0,52240.28
1578042900000.0,11404.02
1578047100000.0,12200.49
1578054300000.0,10144.08
1578060600000.0,17300.82
1578067500000.0,50703.25
1578070200000.0,10061.94
1578077700000.0,10149.7
1578085800000.0,5698.46
1578094500000.0,1065.56
1578112200000.0,18855.94
1578127200000.0,10058.04
1578141300000.0,10236.92
1578156300000.0,12048.32
1578163800000.0,28391.59
1578169500000.0,21954.77
1578185100000.0,55997.29
1578188100000.0,5040.44
1578195600000.0,10140.08
1578208500000.0,10184.8
1578218400000.0,6975.74
1578231600000.0,10027.78
1578244200000.0,11426.74
1578260100000.0,10032.47
1578267300000.0,86162.87
1578276300000.0,25530.04
1578279300000.0,5442.83
1578282000000.0,10171.34
1578291900000.0,17915.09
1578305700000.0,6883.91
1578315300000.0,10473.15
1578319500000.0,12258.75
1578327900000.0,6210.91
1578344400000.0,74163.5
1578349500000.0,51824.77
1578351000000.0,10577.7
1578353400000.0,62499.09
1578355800000.0,119176.77
1578357300000.0,13006.7
1578358800000.0,19890.32
1578363600000.0,10116.63
1578371700000.0,10146.04
1578380700000.0,10117.69
1578391800000.0,15846.81
1578398400000.0,10167.59
1578402300000.0,21082.64
1578408600000.0,10385.76
1578412500000.0,83358.87
1578414600000.0,12138.92
1578417300000.0,31923.02
1578421200000.0,89913.7
1578422400000.0,10837.04
1578424800000.0,17873.58
1578429300000.0,25754.21
1578431700000.0,10202.06
1578434100000.0,5462.76
1578437100000.0,88834.99
1578441000000.0,57791.5
1578442500000.0,66931.35
1578444300000.0,12005.15
1578445500000.0,17708.08
1578447900000.0,10293.87
1578450900000.0,11306.07
1578453900000.0,38376.54
1578459000000.0,6749.3
1578465900000.0,10030.61
1578472500000.0,13458.85
1578479400000.0,11031.51
1578488100000.0,61995.87
1578490500000.0,15613.32
1578492900000.0,13046.53
1578496200000.0,10894.02
1578499500000.0,11131.0
1578501300000.0,11484.27
1578501900000.0,13960.72
1578503400000.0,10107.89
1578505500000.0,10194.71
1578511800000.0,10010.81
1578514200000.0,51920.75
1578516600000.0,8160.78
1578521100000.0,21868.57
1578527700000.0,10051.5
1578531600000.0,8739.25
1578541200000.0,10309.17
1578550500000.0,14651.91
1578558000000.0,10001.78
1578563700000.0,10043.12
1578569400000.0,39068.89
1578576000000.0,10109.42
1578584700000.0,10559.63
1578588900000.0,10156.05
1578593700000.0,81286.54
1578600000000.0,13525.74
1578603300000.0,291.41
1578605700000.0,2321.08
1578613200000.0,10122.45
1578624900000.0,10507.45
1578636000000.0,2728.2
1578643200000.0,10138.52
1578648900000.0,23356.66
1578653400000.0,40002.73
1578656400000.0,40368.48
