timestamp,btc_exchange_inflow_total
1577750400000.0,2913.1
1577763600000.0,3605.13
1577787300000.0,4948.45
1577803800000.0,1278.18
1577806200000.0,2896.48
1577814900000.0,4713.11
1577830800000.0,4914.58
1577849100000.0,1024.17
1577877900000.0,3275.4
1577894400000.0,2452.96
1577919300000.0,1271.23
1577936700000.0,2670.54
1577949900000.0,3318.07
1577960400000.0,3100.27
1577973600000.0,2824.67
1577983800000.0,1960.79
1577985300000.0,3603.76
1577993400000.0,2412.77
1578011700000.0,1614.54
1578018300000.0,3241.63
1578025800000.0,2902.59
1578027000000.0,2117.3
1578031500000.0,1159.23
1578040800000.0,2091.95
1578042900000.0,2853.27
1578047100000.0,4143.16
1578054300000.0,3424.94
1578060600000.0,2788.42
1578067500000.0,3126.93
1578070200000.0,3517.07
1578077700000.0,3897.85
1578085800000.0,4951.78
1578094500000.0,4288.67
1578112200000.0,1773.29
1578127200000.0,1385.88
1578141300000.0,1157.33
1578156300000.0,4465.1
1578163800000.0,2997.5
1578169500000.0,2535.93
1578185100000.0,1136.58
1578188100000.0,2822.17
1578195600000.0,1240.2
1578208500000.0,2009.09
1578218400000.0,4608.03
1578231600000.0,1542.6
1578244200000.0,2399.61
1578260100000.0,4670.57
1578267300000.0,2764.32
1578276300000.0,4602.42
1578279300000.0,2395.23
1578282000000.0,1149.57
1578291900000.0,2218.18
1578305700000.0,4516.84
1578315300000.0,2306.61
1578319500000.0,4170.67
1578327900000.0,3758.18
1578344400000.0,1646.54
1578349500000.0,3192.94
1578351000000.0,1749.55
1578353400000.0,2446.74
1578355800000.0,3550.12
1578357300000.0,3529.49
1578358800000.0,2823.81
1578363600000.0,3975.84
1578371700000.0,3742.15
1578380700000.0,1974.58
1578391800000.0,4689.52
1578398400000.0,2769.08
1578402300000.0,4709.61
1578408600000.0,3040.81
1578412500000.0,2198.47
1578414600000.0,1206.34
1578417300000.0,4898.51
1578421200000.0,4031.09
1578422400000.0,2753.02
1578424800000.0,4281.91
1578429300000.0,3490.71
1578431700000.0,1468.8
1578434100000.0,4309.68
