timestamp,btc_exchange_outflow_total
1577750400000.0,2781.19
1577763600000.0,4054.18
1577787300000.0,4707.72
1577803800000.0,178.7
1577806200000.0,3219.15
1577814900000.0,4875.51
1577830800000.0,4878.03
1577849100000.0,1577.05
1577877900000.0,3027.36
1577894400000.0,3340.63
1577919300000.0,1508.06
1577936700000.0,2420.01
1577949900000.0,4032.04
1577960400000.0,4031.0
1577973600000.0,3110.77
1577983800000.0,968.69
1577985300000.0,3502.11
1577993400000.0,2230.18
1578011700000.0,2279.15
1578018300000.0,4118.02
1578025800000.0,3602.49
1578027000000.0,1818.78
1578031500000.0,1715.81
1578040800000.0,1654.83
1578042900000.0,3121.26
1578047100000.0,4937.83
1578054300000.0,3615.63
1578060600000.0,3523.23
1578067500000.0,2723.38
1578070200000.0,3262.02
1578077700000.0,4357.28
1578085800000.0,4859.45
1578094500000.0,4373.6
1578112200000.0,2769.23
1578127200000.0,1988.71
1578141300000.0,2066.68
1578156300000.0,4131.94
1578163800000.0,3033.58
1578169500000.0,2463.2
1578185100000.0,1925.76
1578188100000.0,3020.39
1578195600000.0,1748.51
1578208500000.0,1971.15
1578218400000.0,4146.01
1578231600000.0,1423.21
1578244200000.0,2404.7
1578260100000.0,5159.39
1578267300000.0,3364.24
1578276300000.0,4713.04
1578279300000.0,2314.06
1578282000000.0,1287.38
1578291900000.0,1932.35
1578305700000.0,4850.7
1578315300000.0,3179.66
1578319500000.0,3702.66
1578327900000.0,3606.8
1578344400000.0,2444.47
1578349500000.0,3923.64
1578351000000.0,1441.82
1578353400000.0,2933.59
1578355800000.0,3369.28
1578357300000.0,1987.37
1578358800000.0,3126.27
1578363600000.0,4203.94
1578371700000.0,3290.83
1578380700000.0,1699.58
1578391800000.0,5057.85
1578398400000.0,3282.49
1578402300000.0,5096.4
1578408600000.0,1652.37
1578412500000.0,2029.13
1578414600000.0,1776.4
1578417300000.0,5428.08
1578421200000.0,4480.92
1578422400000.0,2955.64
1578424800000.0,3819.89
1578429300000.0,4475.18
1578431700000.0,895.01
1578434100000.0,3817.33
1578437100000.0,4127.18
1578441000000.0,4433.82
1578442500000.0,5506.07
1578444300000.0,3958.65
1578445500000.0,4428.92
1578447900000.0,2723.91
1578450900000.0,-297.44
1578453900000.0,2471.96
1578459000000.0,1822.68
1578465900000.0,1523.31
1578472500000.0,3560.09
1578479400000.0,1542.6
1578488100000.0,4866.58
1578490500000.0,3740.31
1578492900000.0,4367.59
1578496200000.0,5330.16
1578499500000.0,4449.23
1578501300000.0,1317.34
1578501900000.0,1457.73
1578503400000.0,1144.58
1578505500000.0,3608.36
1578511800000.0,2248.81
1578514200000.0,3150.4
1578516600000.0,3505.72
1578521100000.0,2001.54
1578527700000.0,2424.43
1578531600000.0,3258.51
1578541200000.0,2013.13
1578550500000.0,2377.06
1578558000000.0,3180.37
1578563700000.0,2793.21
1578569400000.0,2836.7
1578576000000.0,4573.55
1578584700000.0,3571.02
1578588900000.0,2719.28
1578593700000.0,2328.93
1578600000000.0,2395.9
1578603300000.0,3360.77
1578605700000.0,3204.41
1578613200000.0,5508.38
1578624900000.0,2534.31
1578636000000.0,2921.46
1578643200000.0,4396.28
1578648900000.0,1939.38
1578653400000.0,2251.63
1578656400000.0,4327.34
1578660600000.0,4269.03
1578664200000.0,1635.24
1578667200000.0,5040.0
1578669600000.0,4343.92
1578672300000.0,1643.84
1578673800000.0,2273.53
1578676500000.0,3529.85
1578679800000.0,5401.26
1578682200000.0,3456.51
1578684600000.0,4291.76
1578689700000.0,4886.62
1578693600000.0,1161.58
1578700200000.0,4616.83
1578704400000.0,4937.68
