timestamp,btc_exchange_reserve
1577750400000.0,2399578.76
1577763600000.0,2398649.99
1577787300000.0,2399613.91
1577803800000.0,2400934.78
1577806200000.0,2400233.2
1577814900000.0,2399244.68
1577830800000.0,2401122.97
1577849100000.0,2400012.13
1577877900000.0,2401122.96
1577894400000.0,2398289.36
1577919300000.0,2398965.96
1577936700000.0,2400293.94
1577949900000.0,2398391.42
1577960400000.0,2401199.81
1577973600000.0,2402460.14
1577983800000.0,2399786.41
1577985300000.0,2401399.17
1577993400000.0,2400056.21
1578011700000.0,2399878.57
1578018300000.0,2401284.85
1578025800000.0,2397628.28
1578027000000.0,2399698.17
1578031500000.0,2401840.43
1578040800000.0,2400048.33
1578042900000.0,2397804.15
1578047100000.0,2401399.71
1578054300000.0,2400645.91
1578060600000.0,2398816.02
1578067500000.0,2399757.23
1578070200000.0,2399602.03
1578077700000.0,2400190.13
1578085800000.0,2400386.57
1578094500000.0,2400514.05
1578112200000.0,2401255.21
1578127200000.0,2399984.58
1578141300000.0,2400591.62
1578156300000.0,2401704.0
1578163800000.0,2398469.61
1578169500000.0,2399922.17
1578185100000.0,2398470.17
1578188100000.0,2399038.25
1578195600000.0,2400797.45
1578208500000.0,2399264.87
1578218400000.0,2399383.81
1578231600000.0,2399121.88
1578244200000.0,2398931.08
1578260100000.0,2398916.79
1578267300000.0,2398732.77
1578276300000.0,2398774.05
1578279300000.0,2398659.69
1578282000000.0,2399603.72
1578291900000.0,2402197.67
1578305700000.0,2399349.86
1578315300000.0,2399380.31
1578319500000.0,2398934.75
1578327900000.0,2400878.5
1578344400000.0,2399514.86
1578349500000.0,2400338.83
1578351000000.0,2400444.45
1578353400000.0,2399786.14
1578355800000.0,2400494.34
1578357300000.0,2401397.09
1578358800000.0,2397597.82
1578363600000.0,2399641.38
1578371700000.0,2401319.84
1578380700000.0,2401588.1
1578391800000.0,2399488.87
1578398400000.0,2400714.14
1578402300000.0,2400206.37
1578408600000.0,2399115.67
1578412500000.0,2399474.88
1578414600000.0,2401880.35
1578417300000.0,2401518.73
1578421200000.0,2399005.23
1578422400000.0,2398947.8
1578424800000.0,2401207.36
1578429300000.0,2398645.68
1578431700000.0,2400542.6
1578434100000.0,2401041.47
1578437100000.0,2401154.07
1578441000000.0,2400122.39
1578442500000.0,2399509.63
1578444300000.0,2401349.02
1578445500000.0,2400142.69
1578447900000.0,2400291.21
1578450900000.0,2400066.39
1578453900000.0,2399414.45
1578459000000.0,2400604.06
1578465900000.0,2399371.79
1578472500000.0,2399220.09
1578479400000.0,2399390.91
1578488100000.0,2400074.11
1578490500000.0,2399800.03
1578492900000.0,2400212.5
1578496200000.0,2400217.71
1578499500000.0,2399536.41
1578501300000.0,2399382.91
1578501900000.0,2400820.39
1578503400000.0,2400053.14
1578505500000.0,2400102.43
1578511800000.0,2399654.63
1578514200000.0,2398531.87
1578516600000.0,2399173.69
1578521100000.0,2400744.83
1578527700000.0,2400776.42
1578531600000.0,2399562.75
1578541200000.0,2399745.97
1578550500000.0,2399368.81
1578558000000.0,2399758.87
1578563700000.0,2399772.74
1578569400000.0,2400469.49
1578576000000.0,2400433.28
1578584700000.0,2400095.5
1578588900000.0,2399077.97
1578593700000.0,2401540.2
1578600000000.0,2400013.77
1578603300000.0,2398413.24
1578605700000.0,2400297.98
1578613200000.0,2399045.55
1578624900000.0,2398517.83
1578636000000.0,2399890.26
1578643200000.0,2400915.57
1578648900000.0,2399453.26
1578653400000.0,2400674.55
1578656400000.0,2399774.19
1578660600000.0,2399540.98
1578664200000.0,2399530.04
1578667200000.0,2401609.03
1578669600000.0,2398608.86
1578672300000.0,2398804.44
1578673800000.0,2400872.0
1578676500000.0,2399522.0
1578679800000.0,2399238.87
1578682200000.0,2399479.64
1578684600000.0,2401402.24
1578689700000.0,2400251.18
1578693600000.0,2399389.07
1578700200000.0,2399777.9
1578704400000.0,2401730.59
1578708900000.0,2400072.66
1578716700000.0,2398040.31
1578724200000.0,2398693.95
1578730200000.0,2401097.77
1578738600000.0,2398905.45
1578745500000.0,2400044.24
1578753900000.0,2399187.95
1578760500000.0,2400927.1
1578765900000.0,2399959.92
1578778800000.0,2400061.16
1578780000000.0,2400207.67
1578784500000.0,2398614.45
1578789300000.0,2399477.72
1578800100000.0,2401528.75
1578814500000.0,2400906.88
1578825300000.0,2399368.65
1578838200000.0,2401990.27
1578848700000.0,2399919.62
1578850500000.0,2398209.92
1578860700000.0,2398740.72
1578873600000.0,2399406.99
1578886500000.0,2401474.81
1578901200000.0,2398914.79
1578916800000.0,2399031.29
1578930900000.0,2399215.65
1578948300000.0,2400692.31
1578961800000.0,2399892.22
1578963300000.0,2398694.5
1578964800000.0,2400470.97
1578966600000.0,2400391.42
1578971100000.0,2401725.94
1578974700000.0,2399611.33
1578978600000.0,2401641.99
1578985800000.0,2398679.26
1578995100000.0,2398816.54
1579002000000.0,2399938.95
1579005600000.0,2401334.33
1579008900000.0,2399462.31
1579011600000.0,2399179.27
1579012800000.0,2400552.65
1579015500000.0,2400736.43
1579017900000.0,2399731.16
1579020300000.0,2398471.49
1579021800000.0,2399991.79
1579024200000.0,2399497.88
1579026600000.0,2400722.6
1579029000000.0,2400764.49
1579035900000.0,2400166.02
1579044300000.0,2399046.74
1579046700000.0,2402089.28
1579048800000.0,2397660.1
1579052100000.0,2399279.8
1579058700000.0,2400193.65
1579062300000.0,2399499.32
1579065300000.0,2399866.59
1579071600000.0,2399303.01
1579079100000.0,2399743.41
1579083600000.0,2401884.54
1579088400000.0,2398847.53
1579093200000.0,2399733.74
1579096800000.0,2398943.95
1579098000000.0,2400110.16
1579100700000.0,2401668.97
1579103400000.0,2398952.62
1579105200000.0,2399580.95
1579110300000.0,2400728.02
1579116300000.0,2400239.6
1579122300000.0,2400784.85
1579129800000.0,2401682.93
1579134300000.0,2399163.07
1579137900000.0,2400161.02
1579141800000.0,2401635.35
1579147500000.0,2400292.94
1579155600000.0,2398493.53
1579163100000.0,2400535.57
1579169400000.0,2400081.87
1579175100000.0,2399697.57
1579178700000.0,2399572.86
1579182900000.0,2399340.26
1579189200000.0,2399633.74
1579194300000.0,2399933.59
1579202100000.0,2399257.83
1579209900000.0,2400122.81
1579221300000.0,2398843.35
1579229700000.0,2398504.56
1579233900000.0,2399644.16
1579240200000.0,2399724.37
1579242000000.0,2398723.98
1579244700000.0,2400052.96
1579248900000.0,2400780.59
1579253400000.0,2401256.92
1579256700000.0,2400978.37
1579261800000.0,2399222.78
1579264200000.0,2398706.82
1579270200000.0,2399501.46
1579275300000.0,2399958.95
1579280100000.0,2400329.99
1579286400000.0,2400005.15
1579290900000.0,2400196.07
