timestamp,btc_exchange_reserve_usd
1577750400000.0,17358552718.29
1577763600000.0,17318228925.77
1577787300000.0,17517205508.66
1577803800000.0,17327498258.67
1577806200000.0,17199015024.26
1577814900000.0,17245626801.49
1577830800000.0,17363648706.04
1577849100000.0,17340231642.66
1577877900000.0,17358894406.66
1577894400000.0,17271952334.89
1577919300000.0,17133079035.9
1577936700000.0,17076411168.81
1577949900000.0,17177806992.36
1577960400000.0,17113927333.07
1577973600000.0,16969633060.83
1577983800000.0,16734598552.46
1577985300000.0,16745892941.09
1577993400000.0,16683894755.77
1578011700000.0,16631182466.23
1578018300000.0,16839850484.63
1578025800000.0,17262923605.72
1578027000000.0,17270627759.46
1578031500000.0,17373136292.36
1578040800000.0,17539553231.2
1578042900000.0,17560774254.83
1578047100000.0,17629611823.76
1578054300000.0,17452695798.36
1578060600000.0,17496964078.32
1578067500000.0,17671932210.1
1578070200000.0,17624141063.55
1578077700000.0,17553022426.42
1578085800000.0,17573806162.28
1578094500000.0,17578484282.43
1578112200000.0,17649225781.02
1578127200000.0,17564983114.09
1578141300000.0,17516901026.44
1578156300000.0,17524609639.17
1578163800000.0,17599778128.47
1578169500000.0,17687882346.41
1578185100000.0,17867523484.43
1578188100000.0,17889628255.16
1578195600000.0,17894727898.77
1578208500000.0,17821739485.61
1578218400000.0,17847024661.16
1578231600000.0,17880751330.05
1578244200000.0,17729228175.13
1578260100000.0,17653460736.03
1578267300000.0,17941513626.73
1578276300000.0,18030888885.24
1578279300000.0,18048930681.53
1578282000000.0,18033597879.55
1578291900000.0,18116029601.01
1578305700000.0,18119314298.03
1578315300000.0,18043891786.0
1578319500000.0,18084369604.84
1578327900000.0,18121326765.5
1578344400000.0,18378724111.77
1578349500000.0,18573797873.18
1578351000000.0,18573150916.27
1578353400000.0,18797908762.48
1578355800000.0,19131939910.13
1578357300000.0,18947551333.95
1578358800000.0,18991636081.92
1578363600000.0,18901255287.1
1578371700000.0,18951888551.64
1578380700000.0,18919711069.32
1578391800000.0,18955626121.53
1578398400000.0,18816629345.12
1578402300000.0,18891040239.3
1578408600000.0,18634555165.55
1578412500000.0,18928257617.76
1578414600000.0,18990394893.4
1578417300000.0,19109124710.11
1578421200000.0,19390415593.16
1578422400000.0,19383498187.05
1578424800000.0,19470237928.97
1578429300000.0,19547786977.75
1578431700000.0,19306771975.34
1578434100000.0,19330856894.64
1578437100000.0,19635365374.23
1578441000000.0,19776168450.66
1578442500000.0,20006967356.23
1578444300000.0,20061758235.95
1578445500000.0,20121308211.55
1578447900000.0,20081100333.38
1578450900000.0,19834916687.85
1578453900000.0,19981459779.24
1578459000000.0,20018013120.32
1578465900000.0,19956055012.13
1578472500000.0,20007096301.57
1578479400000.0,19926149712.57
1578488100000.0,20125173462.69
1578490500000.0,19848218113.94
1578492900000.0,19901602002.06
1578496200000.0,19897468790.15
1578499500000.0,19753583572.32
1578501300000.0,19368202789.93
1578501900000.0,19433224541.25
1578503400000.0,19418469964.31
1578505500000.0,19320488532.7
1578511800000.0,19013831399.38
1578514200000.0,19186623958.79
1578516600000.0,19222299536.09
1578521100000.0,19317953382.49
1578527700000.0,19112629117.44
1578531600000.0,19136272973.57
1578541200000.0,19011483504.57
1578550500000.0,19063824963.44
1578558000000.0,18924498466.57
1578563700000.0,18896338473.82
1578569400000.0,19035723061.23
1578576000000.0,18984282646.25
1578584700000.0,18785547458.15
1578588900000.0,18719717496.12
1578593700000.0,19023416463.72
1578600000000.0,18771947730.05
1578603300000.0,18760484263.27
1578605700000.0,18783795878.09
1578613200000.0,18746981559.81
1578624900000.0,18584315755.91
1578636000000.0,18604837266.96
1578643200000.0,18559845625.38
1578648900000.0,18634873884.68
1578653400000.0,18790799925.44
1578656400000.0,18922411456.69
1578660600000.0,18963692348.43
1578664200000.0,19107481736.06
1578667200000.0,19314820526.77
1578669600000.0,19471906734.71
1578672300000.0,19227233170.53
1578673800000.0,19105371072.95
1578676500000.0,19300507189.65
1578679800000.0,19366056347.17
1578682200000.0,19258559525.46
1578684600000.0,19392956020.82
1578689700000.0,19334695340.02
1578693600000.0,19583189718.31
1578700200000.0,19623007871.33
1578704400000.0,19667387544.76
1578708900000.0,19525383107.56
1578716700000.0,19421248835.44
1578724200000.0,19327884246.3
1578730200000.0,19419886688.23
1578738600000.0,19333594654.8
1578745500000.0,19407381751.26
1578753900000.0,19518785474.75
1578760500000.0,19559296671.19
1578765900000.0,19704510934.09
1578778800000.0,19458327878.62
1578780000000.0,19346417848.47
1578784500000.0,19256076802.76
1578789300000.0,19408799393.69
1578800100000.0,19441648002.54
1578814500000.0,19511305910.97
1578825300000.0,19580311801.35
1578838200000.0,19470437088.33
1578848700000.0,19497018999.38
1578850500000.0,19535218455.27
1578860700000.0,19637770678.92
1578873600000.0,19439995470.26
1578886500000.0,19387106162.33
1578901200000.0,19383231505.34
1578916800000.0,19393648989.07
1578930900000.0,19532806328.18
1578948300000.0,19559592611.85
1578961800000.0,19887834865.44
1578963300000.0,20035983362.81
1578964800000.0,20229657039.06
1578966600000.0,20173801666.33
1578971100000.0,20503029980.76
1578974700000.0,20456686612.4
1578978600000.0,20479281552.0
1578985800000.0,20488702661.73
1578995100000.0,20464303924.06
1579002000000.0,20411480799.87
1579005600000.0,20501752059.68
1579008900000.0,20780255371.18
1579011600000.0,20812352311.97
1579012800000.0,20856625546.74
1579015500000.0,20563795953.12
1579017900000.0,20700776899.64
