timestamp,btc_exchange_stablecoins_ratio_usd
1577750400000.0,11466703.7047
1577763600000.0,9659075.6549
1577787300000.0,9991279.6897
1577803800000.0,8334957.6693
1577806200000.0,12077677.3897
1577814900000.0,9283232.1364
1577830800000.0,9506245.139
1577849100000.0,10038652.1699
1577877900000.0,10761892.9112
1577894400000.0,10662259.1292
1577919300000.0,10614579.1524
1577936700000.0,9725492.0432
1577949900000.0,10139419.9235
1577960400000.0,10510840.538
1577973600000.0,11248971.2104
1577983800000.0,8969297.7698
1577985300000.0,10367863.803
1577993400000.0,10509043.3886
1578011700000.0,11004977.6802
1578018300000.0,8462194.7157
1578025800000.0,10577438.582
1578027000000.0,11512190.1982
1578031500000.0,9367353.8912
1578040800000.0,8556176.0892
1578042900000.0,9861410.5474
1578047100000.0,10260820.3683
1578054300000.0,9703276.2235
1578060600000.0,9637594.784
1578067500000.0,10838507.2243
1578070200000.0,10608514.3949
1578077700000.0,10666590.8876
1578085800000.0,9348744.5175
1578094500000.0,9710071.7867
1578112200000.0,10933614.741
1578127200000.0,10244024.5377
1578141300000.0,10582469.3222
1578156300000.0,9309996.3051
1578163800000.0,10637658.8726
1578169500000.0,9955844.8341
1578185100000.0,9323114.6536
1578188100000.0,8917681.1571
1578195600000.0,9518058.0322
1578208500000.0,9753801.0998
1578218400000.0,9958816.9658
1578231600000.0,9952952.0875
1578244200000.0,9817924.6089
1578260100000.0,9809227.3123
1578267300000.0,11111234.9539
1578276300000.0,11019801.1079
1578279300000.0,10509649.5908
1578282000000.0,10586388.3837
1578291900000.0,12135803.4951
1578305700000.0,11265086.4491
1578315300000.0,10081407.5877
1578319500000.0,9768569.6174
1578327900000.0,10427520.8217
1578344400000.0,10209687.9246
1578349500000.0,8566294.2557
1578351000000.0,11403878.1391
1578353400000.0,9187413.6625
1578355800000.0,10768796.6576
1578357300000.0,10779940.7673
1578358800000.0,9356301.1423
1578363600000.0,8707848.478
1578371700000.0,8943210.921
1578380700000.0,10085712.0751
1578391800000.0,9902642.4612
1578398400000.0,8713838.6539
1578402300000.0,9380321.9027
1578408600000.0,10038045.9565
1578412500000.0,9977315.9216
1578414600000.0,9185173.9355
1578417300000.0,9830451.7075
1578421200000.0,8491460.1739
1578422400000.0,9699680.5979
1578424800000.0,10485348.1654
1578429300000.0,8305752.6254
1578431700000.0,10146301.1964
1578434100000.0,8995552.1784
1578437100000.0,9872196.6343
1578441000000.0,11349522.1262
1578442500000.0,10709285.097
1578444300000.0,9073854.6743
1578445500000.0,9637885.6389
1578447900000.0,9370221.4766
1578450900000.0,8787501.9526
1578453900000.0,10542637.558
1578459000000.0,10038953.0348
1578465900000.0,10241824.8853
1578472500000.0,10703550.0396
1578479400000.0,10999005.4527
1578488100000.0,9947883.9005
1578490500000.0,8048126.0488
1578492900000.0,9632433.7983
1578496200000.0,9641383.5754
1578499500000.0,13635215.0494
1578501300000.0,9937481.8433
1578501900000.0,10272636.8801
1578503400000.0,11040152.8004
