timestamp,btc_exchange_whale_ratio
1577750400000.0,0.0
1577763600000.0,0.0
1577787300000.0,0.0
1577803800000.0,0.0
1577806200000.0,0.0
1577814900000.0,0.0
1577830800000.0,0.0
1577849100000.0,0.0
1577877900000.0,0.0
1577894400000.0,0.0
1577919300000.0,0.0
1577936700000.0,0.0
1577949900000.0,0.0
1577960400000.0,0.0
1577973600000.0,0.0
1577983800000.0,0.0
1577985300000.0,0.0
1577993400000.0,0.0
1578011700000.0,0.0
1578018300000.0,0.0
1578025800000.0,0.0
1578027000000.0,0.0
1578031500000.0,0.0
1578040800000.0,0.0
1578042900000.0,0.0
1578047100000.0,0.0
1578054300000.0,0.0
1578060600000.0,0.0
1578067500000.0,0.0
1578070200000.0,0.0
1578077700000.0,0.0
1578085800000.0,0.0
1578094500000.0,0.0
1578112200000.0,0.0
1578127200000.0,0.0
1578141300000.0,0.0
1578156300000.0,0.0
1578163800000.0,0.0
1578169500000.0,0.0
1578185100000.0,0.0
1578188100000.0,0.0
1578195600000.0,0.0
1578208500000.0,0.0
1578218400000.0,0.0
1578231600000.0,0.0
1578244200000.0,0.0
1578260100000.0,0.0
1578267300000.0,0.0
1578276300000.0,0.0
1578279300000.0,0.275
1578282000000.0,0.3548
1578291900000.0,0.374
1578305700000.0,0.3325
1578315300000.0,0.3715
1578319500000.0,0.4685
1578327900000.0,0.3673
1578344400000.0,0.4053
1578349500000.0,0.2892
1578351000000.0,0.4208
1578353400000.0,0.3306
1578355800000.0,0.4122
1578357300000.0,0.3257
1578358800000.0,0.3391
1578363600000.0,0.3839
1578371700000.0,0.3461
1578380700000.0,0.3472
1578391800000.0,0.3834
1578398400000.0,0.3459
1578402300000.0,0.3443
1578408600000.0,0.3994
1578412500000.0,0.4446
1578414600000.0,0.4093
1578417300000.0,0.4267
1578421200000.0,0.3027
1578422400000.0,0.3177
1578424800000.0,0.4621
1578429300000.0,0.3992
1578431700000.0,0.3778
1578434100000.0,0.3355
1578437100000.0,0.352
1578441000000.0,0.3495
1578442500000.0,0.3916
1578444300000.0,0.3795
1578445500000.0,0.3713
1578447900000.0,0.3177
1578450900000.0,0.4243
1578453900000.0,0.3604
1578459000000.0,0.4172
1578465900000.0,0.3657
1578472500000.0,0.3287
1578479400000.0,0.3316
1578488100000.0,0.3461
1578490500000.0,0.3359
1578492900000.0,0.2478
1578496200000.0,0.4015
1578499500000.0,0.315
1578501300000.0,0.3802
1578501900000.0,0.3602
1578503400000.0,0.364
1578505500000.0,0.3283
1578511800000.0,0.2711
1578514200000.0,0.4569
1578516600000.0,0.3163
1578521100000.0,0.2648
1578527700000.0,0.3694
1578531600000.0,0.3662
1578541200000.0,0.3754
1578550500000.0,0.3468
1578558000000.0,0.3188
1578563700000.0,0.4154
1578569400000.0,0.2673
1578576000000.0,0.2421
1578584700000.0,0.3866
1578588900000.0,0.2994
1578593700000.0,0.4198
1578600000000.0,0.3403
1578603300000.0,0.3073
1578605700000.0,0.3044
1578613200000.0,0.3378
1578624900000.0,0.3445
1578636000000.0,0.3945
1578643200000.0,0.3709
1578648900000.0,0.3904
1578653400000.0,0.3822
1578656400000.0,0.3344
1578660600000.0,0.3889
1578664200000.0,0.3648
1578667200000.0,0.3106
1578669600000.0,0.3248
1578672300000.0,0.3026
1578673800000.0,0.3763
1578676500000.0,0.2782
1578679800000.0,0.3288
1578682200000.0,0.3902
1578684600000.0,0.3352
1578689700000.0,0.3903
1578693600000.0,0.3844
1578700200000.0,0.3695
1578704400000.0,0.2888
1578708900000.0,0.3526
1578716700000.0,0.3299
1578724200000.0,0.4796
1578730200000.0,0.4519
1578738600000.0,0.4399
1578745500000.0,0.2979
1578753900000.0,0.4007
1578760500000.0,0.3165
1578765900000.0,0.3395
1578778800000.0,0.3503
1578780000000.0,0.3141
1578784500000.0,0.4509
1578789300000.0,0.4185
1578800100000.0,0.3634
1578814500000.0,0.3999
1578825300000.0,0.2123
1578838200000.0,0.3317
1578848700000.0,0.3166
1578850500000.0,0.2952
1578860700000.0,0.3427
1578873600000.0,0.3133
1578886500000.0,0.3514
1578901200000.0,0.399
1578916800000.0,0.3355
1578930900000.0,0.383
1578948300000.0,0.2928
1578961800000.0,0.334
1578963300000.0,0.2772
1578964800000.0,0.3861
1578966600000.0,0.3528
1578971100000.0,0.3123
1578974700000.0,0.3716
1578978600000.0,0.3999
1578985800000.0,0.2991
1578995100000.0,0.43
1579002000000.0,0.3607
1579005600000.0,0.2511
1579008900000.0,0.4001
1579011600000.0,0.2828
1579012800000.0,0.31
1579015500000.0,0.3082
1579017900000.0,0.3995
1579020300000.0,0.3411
1579021800000.0,0.3536
1579024200000.0,0.4217
1579026600000.0,0.3007
1579029000000.0,0.318
1579035900000.0,0.3229
1579044300000.0,0.3902
1579046700000.0,0.3731
1579048800000.0,0.3515
1579052100000.0,0.3713
1579058700000.0,0.3124
1579062300000.0,0.4029
1579065300000.0,0.3191
1579071600000.0,0.3843
1579079100000.0,0.3086
1579083600000.0,0.3194
1579088400000.0,0.2646
1579093200000.0,0.3312
1579096800000.0,0.3969
1579098000000.0,0.2777
1579100700000.0,0.3986
1579103400000.0,0.4461
1579105200000.0,0.3457
1579110300000.0,0.3387
1579116300000.0,0.3372
1579122300000.0,0.346
1579129800000.0,0.3257
1579134300000.0,0.4412
1579137900000.0,0.3523
1579141800000.0,0.3216
1579147500000.0,0.2746
1579155600000.0,0.392
1579163100000.0,0.3082
1579169400000.0,0.3294
1579175100000.0,0.3493
1579178700000.0,0.3564
1579182900000.0,0.343
1579189200000.0,0.3619
1579194300000.0,0.3875
1579202100000.0,0.4015
1579209900000.0,0.2959
1579221300000.0,0.3951
1579229700000.0,0.4053
1579233900000.0,0.377
1579240200000.0,0.3674
1579242000000.0,0.4485
1579244700000.0,0.4901
1579248900000.0,0.4352
1579253400000.0,0.3511
1579256700000.0,0.3736
1579261800000.0,0.302
1579264200000.0,0.2257
1579270200000.0,0.3491
1579275300000.0,0.3719
1579280100000.0,0.2953
1579286400000.0,0.3327
1579290900000.0,0.415
1579298700000.0,0.4094
1579307100000.0,0.3268
1579313700000.0,0.2944
1579323000000.0,0.2722
1579331100000.0,0.4516
1579340100000.0,0.3347
1579350600000.0,0.3808
1579358700000.0,0.3504
