timestamp,btc_korea_premium_index
1577750400000.0,4.4183
1577763600000.0,-0.0799
1577787300000.0,-0.687
1577803800000.0,0.2699
1577806200000.0,0.3833
1577814900000.0,3.7341
1577830800000.0,3.6593
1577849100000.0,3.8411
1577877900000.0,1.8875
1577894400000.0,-0.7638
1577919300000.0,2.6998
1577936700000.0,-0.1922
1577949900000.0,1.3671
1577960400000.0,3.7221
1577973600000.0,4.3822
1577983800000.0,3.4319
1577985300000.0,0.1805
1577993400000.0,4.0059
1578011700000.0,2.5319
1578018300000.0,2.6814
1578025800000.0,4.9515
1578027000000.0,3.8477
1578031500000.0,4.3852
1578040800000.0,3.4465
1578042900000.0,0.8693
1578047100000.0,3.5173
1578054300000.0,4.4382
1578060600000.0,2.0411
1578067500000.0,2.0275
1578070200000.0,3.8691
1578077700000.0,0.0265
1578085800000.0,4.5741
1578094500000.0,2.1583
1578112200000.0,2.7093
1578127200000.0,1.8585
1578141300000.0,3.7847
1578156300000.0,3.5704
1578163800000.0,2.3095
1578169500000.0,4.3037
1578185100000.0,2.409
1578188100000.0,4.4485
1578195600000.0,4.1174
1578208500000.0,-0.7467
1578218400000.0,0.3517
1578231600000.0,3.3828
1578244200000.0,3.7038
1578260100000.0,4.0943
1578267300000.0,3.5434
1578276300000.0,4.8548
1578279300000.0,2.1556
1578282000000.0,1.4253
1578291900000.0,4.2598
1578305700000.0,2.9493
1578315300000.0,3.8052
1578319500000.0,-0.0601
1578327900000.0,-0.1385
1578344400000.0,0.8142
1578349500000.0,1.7666
1578351000000.0,1.5585
1578353400000.0,0.6953
1578355800000.0,3.0284
1578357300000.0,3.7711
1578358800000.0,4.553
1578363600000.0,1.0219
1578371700000.0,4.2585
1578380700000.0,2.981
1578391800000.0,0.0543
1578398400000.0,3.2986
1578402300000.0,4.1051
1578408600000.0,0.6706
1578412500000.0,-0.1517
1578414600000.0,-0.2324
1578417300000.0,1.6789
1578421200000.0,0.1734
1578422400000.0,4.096
1578424800000.0,1.1932
1578429300000.0,3.9618
1578431700000.0,-0.2403
1578434100000.0,0.1875
1578437100000.0,0.3012
1578441000000.0,3.7786
1578442500000.0,-0.1779
1578444300000.0,0.7723
1578445500000.0,-0.5475
1578447900000.0,1.5806
1578450900000.0,-0.8614
1578453900000.0,-0.6324
1578459000000.0,-0.1437
1578465900000.0,-0.0083
1578472500000.0,2.548
1578479400000.0,3.7253
1578488100000.0,4.6138
1578490500000.0,1.1525
1578492900000.0,-0.455
1578496200000.0,-0.1289
1578499500000.0,0.5425
1578501300000.0,0.8213
1578501900000.0,1.0789
1578503400000.0,2.9461
1578505500000.0,2.3209
1578511800000.0,4.7613
1578514200000.0,1.3822
1578516600000.0,0.6263
1578521100000.0,2.7387
1578527700000.0,0.7311
1578531600000.0,-0.9003
1578541200000.0,0.8399
1578550500000.0,2.1021
1578558000000.0,-0.5518
1578563700000.0,0.426
1578569400000.0,2.1547
1578576000000.0,4.6936
