timestamp,btc_miner_netflow_total
1577750400000.0,-424.24
1577763600000.0,475.37
1577787300000.0,-422.54
1577803800000.0,-202.0
1577806200000.0,324.63
1577814900000.0,80.04
1577830800000.0,267.7
1577849100000.0,-56.74
1577877900000.0,119.93
1577894400000.0,272.62
1577919300000.0,194.68
1577936700000.0,-138.31
1577949900000.0,245.21
1577960400000.0,112.8
1577973600000.0,59.9
1577983800000.0,-139.99
1577985300000.0,152.95
1577993400000.0,328.09
1578011700000.0,-240.89
1578018300000.0,-59.19
1578025800000.0,298.6
1578027000000.0,-183.71
1578031500000.0,353.63
1578040800000.0,-56.42
1578042900000.0,-69.16
1578047100000.0,-56.64
1578054300000.0,419.7
1578060600000.0,-498.47
1578067500000.0,-150.27
1578070200000.0,-301.34
1578077700000.0,-224.54
1578085800000.0,-411.03
1578094500000.0,-399.88
1578112200000.0,100.59
1578127200000.0,157.35
1578141300000.0,-93.68
1578156300000.0,-489.99
1578163800000.0,56.45
1578169500000.0,-2.48
1578185100000.0,-484.72
1578188100000.0,243.51
1578195600000.0,155.12
1578208500000.0,196.03
1578218400000.0,95.39
1578231600000.0,45.67
1578244200000.0,186.63
1578260100000.0,-232.08
1578267300000.0,-130.18
1578276300000.0,-462.15
1578279300000.0,-155.97
1578282000000.0,299.66
1578291900000.0,-249.1
1578305700000.0,448.24
1578315300000.0,157.75
1578319500000.0,-99.14
1578327900000.0,-84.48
1578344400000.0,-95.2
1578349500000.0,-328.51
1578351000000.0,432.22
1578353400000.0,-137.89
1578355800000.0,-306.99
1578357300000.0,-27.04
1578358800000.0,-370.32
1578363600000.0,-93.55
1578371700000.0,-99.15
1578380700000.0,290.78
1578391800000.0,377.56
1578398400000.0,344.92
1578402300000.0,344.48
1578408600000.0,18.47
1578412500000.0,85.3
1578414600000.0,-275.69
1578417300000.0,-351.5
1578421200000.0,383.06
1578422400000.0,-227.68
1578424800000.0,-471.05
1578429300000.0,-253.03
1578431700000.0,397.9
1578434100000.0,43.54
1578437100000.0,356.78
1578441000000.0,368.74
1578442500000.0,-484.23
1578444300000.0,-115.49
1578445500000.0,-5.12
1578447900000.0,315.66
1578450900000.0,-157.47
1578453900000.0,492.36
1578459000000.0,9.87
1578465900000.0,188.26
1578472500000.0,-467.2
1578479400000.0,374.43
1578488100000.0,347.64
1578490500000.0,-91.0
1578492900000.0,7.57
1578496200000.0,454.87
1578499500000.0,-17.07
1578501300000.0,280.79
1578501900000.0,101.93
1578503400000.0,205.29
1578505500000.0,-244.79
1578511800000.0,400.92
1578514200000.0,33.64
1578516600000.0,-144.9
