timestamp,btc_miners_position_index
1577750400000.0,0.8144
1577763600000.0,0.9226
1577787300000.0,0.3276
1577803800000.0,0.5378
1577806200000.0,0.7877
1577814900000.0,0.0412
1577830800000.0,0.1159
1577849100000.0,0.7238
1577877900000.0,0.1365
1577894400000.0,0.875
1577919300000.0,0.8167
1577936700000.0,0.7588
1577949900000.0,0.6433
1577960400000.0,0.7196
1577973600000.0,0.3085
1577983800000.0,0.4787
1577985300000.0,0.9793
1577993400000.0,0.7682
1578011700000.0,0.5368
1578018300000.0,0.8819
1578025800000.0,0.0258
1578027000000.0,0.1629
1578031500000.0,0.3465
1578040800000.0,0.578
1578042900000.0,0.4563
1578047100000.0,0.929
1578054300000.0,0.8478
1578060600000.0,0.3561
1578067500000.0,0.8895
1578070200000.0,0.6708
1578077700000.0,0.9347
1578085800000.0,0.7578
1578094500000.0,0.0187
1578112200000.0,0.9424
1578127200000.0,0.2631
1578141300000.0,0.7588
1578156300000.0,0.44
1578163800000.0,0.664
1578169500000.0,0.3704
1578185100000.0,0.4531
1578188100000.0,0.1004
1578195600000.0,0.6361
1578208500000.0,0.3034
1578218400000.0,0.0373
1578231600000.0,0.8547
1578244200000.0,0.0663
1578260100000.0,0.4676
1578267300000.0,0.7803
1578276300000.0,0.304
1578279300000.0,0.7694
1578282000000.0,0.4884
1578291900000.0,0.0737
1578305700000.0,0.3123
1578315300000.0,0.1134
1578319500000.0,0.7771
1578327900000.0,0.6793
1578344400000.0,0.8746
1578349500000.0,0.6676
1578351000000.0,0.4675
1578353400000.0,0.7049
1578355800000.0,0.795
1578357300000.0,0.4713
1578358800000.0,0.6716
1578363600000.0,0.248
1578371700000.0,0.236
1578380700000.0,0.9077
1578391800000.0,0.3004
1578398400000.0,0.6043
1578402300000.0,0.8217
1578408600000.0,0.7183
1578412500000.0,0.4843
1578414600000.0,0.0734
1578417300000.0,0.243
1578421200000.0,0.0701
1578422400000.0,0.9808
1578424800000.0,0.7191
1578429300000.0,0.9599
1578431700000.0,0.0883
1578434100000.0,0.8374
1578437100000.0,0.3298
1578441000000.0,0.7616
1578442500000.0,0.0179
1578444300000.0,0.7056
1578445500000.0,0.976
1578447900000.0,0.7778
1578450900000.0,0.9122
1578453900000.0,0.7499
1578459000000.0,0.2572
1578465900000.0,0.3348
1578472500000.0,0.5137
1578479400000.0,0.2872
1578488100000.0,0.815
1578490500000.0,0.0998
1578492900000.0,0.4595
1578496200000.0,0.3492
1578499500000.0,0.8206
1578501300000.0,0.4953
1578501900000.0,0.6772
1578503400000.0,0.92
1578505500000.0,0.1857
1578511800000.0,0.8943
1578514200000.0,0.5578
1578516600000.0,0.548
1578521100000.0,0.2363
1578527700000.0,0.1236
1578531600000.0,0.0267
1578541200000.0,0.139
1578550500000.0,0.5535
1578558000000.0,0.1774
1578563700000.0,0.6547
1578569400000.0,0.4682
1578576000000.0,0.7724
1578584700000.0,0.4006
1578588900000.0,0.3902
1578593700000.0,0.0172
1578600000000.0,0.6431
1578603300000.0,0.5343
1578605700000.0,0.744
1578613200000.0,0.1277
1578624900000.0,0.5653
1578636000000.0,0.0656
1578643200000.0,0.8513
1578648900000.0,0.779
1578653400000.0,0.8265
1578656400000.0,0.5439
1578660600000.0,0.6917
1578664200000.0,0.6266
1578667200000.0,0.3947
1578669600000.0,0.0889
1578672300000.0,0.9627
1578673800000.0,0.0696
1578676500000.0,0.958
1578679800000.0,0.2415
1578682200000.0,0.163
1578684600000.0,0.1013
1578689700000.0,0.7963
1578693600000.0,0.0375
1578700200000.0,0.1826
1578704400000.0,0.7998
1578708900000.0,0.2178
1578716700000.0,0.8342
1578724200000.0,0.7866
1578730200000.0,0.4571
1578738600000.0,0.5766
1578745500000.0,0.5392
1578753900000.0,0.5661
1578760500000.0,0.3517
1578765900000.0,0.9115
1578778800000.0,0.0263
1578780000000.0,0.3645
1578784500000.0,0.0995
1578789300000.0,0.0184
1578800100000.0,0.7298
1578814500000.0,0.2312
1578825300000.0,0.6263
1578838200000.0,0.8113
1578848700000.0,0.9892
1578850500000.0,0.643
1578860700000.0,0.8672
1578873600000.0,0.1573
1578886500000.0,0.8075
1578901200000.0,0.2254
1578916800000.0,0.1807
1578930900000.0,0.665
1578948300000.0,0.3284
1578961800000.0,0.3012
1578963300000.0,0.5629
1578964800000.0,0.8995
1578966600000.0,0.4666
1578971100000.0,0.0263
1578974700000.0,0.7964
1578978600000.0,0.7887
1578985800000.0,0.836
1578995100000.0,0.7261
1579002000000.0,0.1557
1579005600000.0,0.7921
1579008900000.0,0.6833
1579011600000.0,0.4711
1579012800000.0,0.872
1579015500000.0,0.1909
1579017900000.0,0.7529
1579020300000.0,0.6886
1579021800000.0,0.9116
1579024200000.0,0.6797
1579026600000.0,0.8428
1579029000000.0,0.699
1579035900000.0,0.7454
1579044300000.0,0.5394
1579046700000.0,0.0916
1579048800000.0,0.3522
1579052100000.0,0.2999
1579058700000.0,0.8192
1579062300000.0,0.2725
1579065300000.0,0.276
1579071600000.0,0.0726
1579079100000.0,0.2534
1579083600000.0,0.9802
1579088400000.0,0.4841
1579093200000.0,0.695
1579096800000.0,0.9625
1579098000000.0,0.495
1579100700000.0,0.7671
1579103400000.0,0.4485
1579105200000.0,0.425
1579110300000.0,0.624
1579116300000.0,0.705
1579122300000.0,0.3758
1579129800000.0,0.0911
1579134300000.0,0.1031
1579137900000.0,0.2317
1579141800000.0,0.8959
1579147500000.0,0.4228
1579155600000.0,0.003
1579163100000.0,0.4146
1579169400000.0,0.4634
1579175100000.0,0.186
1579178700000.0,0.012
1579182900000.0,0.3988
1579189200000.0,0.382
1579194300000.0,0.9275
1579202100000.0,0.7894
1579209900000.0,0.2559
1579221300000.0,0.8405
1579229700000.0,0.546
1579233900000.0,0.9181
1579240200000.0,0.1055
1579242000000.0,0.1752
1579244700000.0,0.874
1579248900000.0,0.0763
1579253400000.0,0.0532
