timestamp,btc_mvrv_ratio
1577750400000.0,1.5587
1577763600000.0,1.4401
1577787300000.0,1.7227
1577803800000.0,1.4763
1577806200000.0,1.769
1577814900000.0,1.5215
1577830800000.0,1.5158
1577849100000.0,1.4826
1577877900000.0,1.5007
1577894400000.0,1.3681
1577919300000.0,1.4249
1577936700000.0,1.5471
1577949900000.0,1.4526
1577960400000.0,1.4152
1577973600000.0,1.6142
1577983800000.0,1.4333
1577985300000.0,1.4459
1577993400000.0,1.5471
1578011700000.0,1.4732
1578018300000.0,1.4779
1578025800000.0,1.7023
1578027000000.0,1.54
1578031500000.0,1.4204
1578040800000.0,1.4632
1578042900000.0,1.443
1578047100000.0,1.5624
1578054300000.0,1.4021
1578060600000.0,1.3942
1578067500000.0,1.5445
1578070200000.0,1.5028
1578077700000.0,1.4693
1578085800000.0,1.4498
1578094500000.0,1.5056
1578112200000.0,1.6126
1578127200000.0,1.5343
1578141300000.0,1.5434
1578156300000.0,1.6115
1578163800000.0,1.4267
1578169500000.0,1.574
1578185100000.0,1.4761
1578188100000.0,1.5003
1578195600000.0,1.5699
1578208500000.0,1.6011
1578218400000.0,1.3366
1578231600000.0,1.4273
1578244200000.0,1.4743
1578260100000.0,1.3482
1578267300000.0,1.7204
1578276300000.0,1.7183
1578279300000.0,1.5869
1578282000000.0,1.5259
1578291900000.0,1.4845
1578305700000.0,1.597
1578315300000.0,1.5843
1578319500000.0,1.4692
1578327900000.0,1.447
1578344400000.0,1.4446
1578349500000.0,1.533
1578351000000.0,1.5381
1578353400000.0,1.4624
1578355800000.0,1.5122
1578357300000.0,1.6527
1578358800000.0,1.5199
1578363600000.0,1.4422
1578371700000.0,1.4707
1578380700000.0,1.7487
1578391800000.0,1.4767
1578398400000.0,1.441
1578402300000.0,1.4823
1578408600000.0,1.6112
1578412500000.0,1.5042
1578414600000.0,1.3823
1578417300000.0,1.4774
1578421200000.0,1.4995
1578422400000.0,1.554
1578424800000.0,1.615
1578429300000.0,1.3925
1578431700000.0,1.4081
1578434100000.0,1.74
1578437100000.0,1.6046
1578441000000.0,1.5403
1578442500000.0,1.6239
1578444300000.0,1.4733
