timestamp,btc_short_liquidations_usd
1577750400000.0,72882436.41
1577763600000.0,72275004.52
1577787300000.0,443123002.01
1577803800000.0,72663272.64
1577806200000.0,77173863.53
1577814900000.0,112719109.73
1577830800000.0,219678153.4
1577849100000.0,74448662.63
1577877900000.0,22197651.98
1577894400000.0,73808824.92
1577919300000.0,74954929.58
1577936700000.0,74720361.93
1577949900000.0,240553279.34
1577960400000.0,74112242.87
1577973600000.0,90405786.1
1577983800000.0,75459553.19
1577985300000.0,103712.41
1577993400000.0,70447436.87
1578011700000.0,73469609.25
1578018300000.0,425458098.09
1578025800000.0,1351938764.66
1578027000000.0,73667502.34
1578031500000.0,189754742.34
1578040800000.0,381771933.09
1578042900000.0,83519512.45
1578047100000.0,89568554.62
1578054300000.0,73747432.59
1578060600000.0,126192208.23
1578067500000.0,373381279.16
1578070200000.0,73901058.74
1578077700000.0,74226588.45
1578085800000.0,41719813.43
1578094500000.0,7802848.03
1578112200000.0,138591193.92
1578127200000.0,73612706.75
1578141300000.0,74697911.6
1578156300000.0,87913484.39
1578163800000.0,208335246.02
1578169500000.0,161810806.39
1578185100000.0,417154590.81
1578188100000.0,37586572.41
1578195600000.0,75580744.11
1578208500000.0,75652676.44
1578218400000.0,51886709.04
1578231600000.0,74737456.85
1578244200000.0,84448963.38
1578260100000.0,73828252.01
1578267300000.0,644462092.85
1578276300000.0,191901935.04
1578279300000.0,40955036.96
1578282000000.0,76440085.85
1578291900000.0,135105556.85
1578305700000.0,51985641.75
1578315300000.0,78760487.0
1578319500000.0,92412598.16
1578327900000.0,46878620.65
1578344400000.0,568044229.36
1578349500000.0,401019533.49
1578351000000.0,81843652.8
1578353400000.0,489565410.97
1578355800000.0,949838818.32
1578357300000.0,102625755.69
1578358800000.0,157553420.28
1578363600000.0,79685691.77
1578371700000.0,80075402.13
1578380700000.0,79707176.44
1578391800000.0,125187588.62
1578398400000.0,79692840.14
1578402300000.0,165932839.9
1578408600000.0,80668934.89
1578412500000.0,657576458.71
1578414600000.0,95976000.18
1578417300000.0,254014675.0
1578421200000.0,726744545.15
1578422400000.0,87563278.88
1578424800000.0,144928248.62
1578429300000.0,209884232.57
1578431700000.0,82051763.13
1578434100000.0,43980814.06
1578437100000.0,726445460.98
1578441000000.0,476181738.96
1578442500000.0,558069589.16
1578444300000.0,100295444.57
1578445500000.0,148453582.95
1578447900000.0,86119637.24
1578450900000.0,93437016.69
1578453900000.0,319586012.82
1578459000000.0,56280633.18
1578465900000.0,83426552.98
1578472500000.0,112233388.45
1578479400000.0,91613067.57
1578488100000.0,519849604.09
1578490500000.0,129134338.69
1578492900000.0,108176622.88
1578496200000.0,90309861.99
1578499500000.0,91633197.86
1578501300000.0,92702852.25
1578501900000.0,113003815.26
1578503400000.0,81781394.61
1578505500000.0,82066028.25
1578511800000.0,79321369.37
1578514200000.0,415330716.63
1578516600000.0,65384591.76
1578521100000.0,175968702.25
1578527700000.0,80020232.24
1578531600000.0,69694621.05
1578541200000.0,81672218.49
1578550500000.0,116414589.69
1578558000000.0,78874010.38
1578563700000.0,79081732.78
1578569400000.0,309816291.91
1578576000000.0,79952254.3
1578584700000.0,82650235.98
1578588900000.0,79246471.33
1578593700000.0,643898352.71
1578600000000.0,105792959.16
1578603300000.0,2279387.84
1578605700000.0,18163879.86
1578613200000.0,79100329.46
1578624900000.0,81414378.32
1578636000000.0,21149984.15
1578643200000.0,78374009.38
1578648900000.0,181394819.22
1578653400000.0,313113374.09
1578656400000.0,318308711.89
1578660600000.0,91275571.2
1578664200000.0,304947723.25
1578667200000.0,436982563.43
1578669600000.0,452598134.2
1578672300000.0,81462213.33
1578673800000.0,83509523.55
1578676500000.0,438918036.4
1578679800000.0,144908968.68
1578682200000.0,96906430.47
1578684600000.0,257383006.65
1578689700000.0,83696612.44
1578693600000.0,545212421.36
1578700200000.0,78184852.12
1578704400000.0,60742581.06
1578708900000.0,82716193.72
1578716700000.0,83446760.24
1578724200000.0,85556883.69
1578730200000.0,153409616.33
1578738600000.0,82220969.98
1578745500000.0,138439097.79
1578753900000.0,247649630.84
1578760500000.0,55463629.79
1578765900000.0,327638867.34
1578778800000.0,88693350.55
1578780000000.0,81385173.42
1578784500000.0,81624756.13
1578789300000.0,306119485.07
1578800100000.0,34025417.36
1578814500000.0,157951187.49
1578825300000.0,179970165.61
1578838200000.0,82350873.66
1578848700000.0,94075342.46
1578850500000.0,109367668.74
1578860700000.0,205326325.92
1578873600000.0,81607189.06
1578886500000.0,81069619.83
1578901200000.0,36472040.52
1578916800000.0,19788902.21
1578930900000.0,320204566.47
1578948300000.0,31745834.77
1578961800000.0,771078221.98
1578963300000.0,337775177.11
1578964800000.0,423695636.43
1578966600000.0,89595625.74
1578971100000.0,779063746.88
1578974700000.0,88508904.43
1578978600000.0,11113187.59
1578985800000.0,74371472.15
1578995100000.0,86931995.16
1579002000000.0,107942895.42
1579005600000.0,165442363.34
