timestamp,btc_taker_buy_sell_ratio
1577750400000.0,0.9496
1577763600000.0,0.9789
1577787300000.0,0.979
1577803800000.0,1.0008
1577806200000.0,1.0001
1577814900000.0,1.0585
1577830800000.0,1.056
1577849100000.0,0.9676
1577877900000.0,1.0054
1577894400000.0,1.0007
1577919300000.0,0.977
1577936700000.0,1.0141
1577949900000.0,1.098
1577960400000.0,0.9451
1577973600000.0,0.9637
1577983800000.0,0.8709
1577985300000.0,0.9303
1577993400000.0,0.9212
1578011700000.0,0.908
1578018300000.0,1.0177
1578025800000.0,1.194
1578027000000.0,0.9708
1578031500000.0,1.0324
1578040800000.0,1.1145
1578042900000.0,1.0797
1578047100000.0,1.0206
1578054300000.0,0.9462
1578060600000.0,1.009
1578067500000.0,0.9822
1578070200000.0,0.9072
1578077700000.0,0.9271
1578085800000.0,0.9997
1578094500000.0,0.9856
1578112200000.0,1.0272
1578127200000.0,1.106
1578141300000.0,1.0151
1578156300000.0,1.0004
1578163800000.0,1.091
1578169500000.0,1.0373
1578185100000.0,1.0577
1578188100000.0,1.0216
1578195600000.0,0.9974
1578208500000.0,0.8818
1578218400000.0,0.946
1578231600000.0,1.0226
1578244200000.0,0.8646
1578260100000.0,0.9954
1578267300000.0,1.1433
1578276300000.0,1.0366
1578279300000.0,0.9765
1578282000000.0,0.9557
1578291900000.0,1.0604
1578305700000.0,0.9907
1578315300000.0,0.8582
1578319500000.0,1.0462
1578327900000.0,1.0007
1578344400000.0,1.112
1578349500000.0,1.0629
1578351000000.0,1.0513
1578353400000.0,1.1248
1578355800000.0,1.141
1578357300000.0,0.9929
1578358800000.0,1.0647
1578363600000.0,0.9802
1578371700000.0,1.0549
1578380700000.0,1.1017
1578391800000.0,0.9724
1578398400000.0,0.8643
1578402300000.0,1.0535
1578408600000.0,0.8662
1578412500000.0,1.1676
1578414600000.0,1.0322
1578417300000.0,1.0092
1578421200000.0,1.1505
1578422400000.0,1.0089
1578424800000.0,1.0266
1578429300000.0,1.022
1578431700000.0,0.9397
1578434100000.0,1.0079
1578437100000.0,1.0294
1578441000000.0,1.0178
1578442500000.0,1.2116
1578444300000.0,0.8925
1578445500000.0,0.9121
1578447900000.0,1.0463
1578450900000.0,0.8458
1578453900000.0,1.0084
1578459000000.0,1.0288
1578465900000.0,0.9892
1578472500000.0,1.0515
