timestamp,bw_momentum
1577750400000.0,0.0
1577763600000.0,0.0
1577787300000.0,0.0
1577803800000.0,0.0
1577806200000.0,0.0
1577814900000.0,0.0
1577830800000.0,0.0
1577849100000.0,0.0
1577877900000.0,0.0
1577894400000.0,0.0
1577919300000.0,0.0
1577936700000.0,0.0
1577949900000.0,-0.01
1577960400000.0,-0.0129
1577973600000.0,-0.0329
1577983800000.0,-0.0343
1577985300000.0,-0.0272
1577993400000.0,-0.0335
1578011700000.0,-0.0426
1578018300000.0,-0.0298
1578025800000.0,-0.0041
1578027000000.0,-0.0007
1578031500000.0,0.0127
1578040800000.0,0.0269
1578042900000.0,0.0223
1578047100000.0,0.0296
1578054300000.0,0.0288
1578060600000.0,0.045
1578067500000.0,0.0545
1578070200000.0,0.055
1578077700000.0,0.0538
1578085800000.0,0.043
1578094500000.0,0.0169
1578112200000.0,0.021
1578127200000.0,0.0118
1578141300000.0,-0.0015
1578156300000.0,-0.0037
1578163800000.0,-0.0005
1578169500000.0,0.0137
1578185100000.0,0.0211
1578188100000.0,0.0125
1578195600000.0,0.0147
1578208500000.0,0.0156
1578218400000.0,0.0158
1578231600000.0,0.0176
1578244200000.0,0.0055
1578260100000.0,0.0055
1578267300000.0,0.0247
1578276300000.0,0.0297
1578279300000.0,0.0251
1578282000000.0,0.0195
1578291900000.0,0.0123
1578305700000.0,0.0126
1578315300000.0,0.0089
1578319500000.0,0.0148
1578327900000.0,0.0146
1578344400000.0,0.0273
1578349500000.0,0.046
1578351000000.0,0.0501
1578353400000.0,0.0462
1578355800000.0,0.0586
1578357300000.0,0.0474
1578358800000.0,0.0526
1578363600000.0,0.0435
1578371700000.0,0.0441
1578380700000.0,0.0465
1578391800000.0,0.0468
1578398400000.0,0.0377
1578402300000.0,0.0272
1578408600000.0,0.0038
1578412500000.0,0.0193
1578414600000.0,0.0093
1578417300000.0,-0.0016
1578421200000.0,0.0241
1578422400000.0,0.0199
1578424800000.0,0.029
1578429300000.0,0.0321
1578431700000.0,0.0207
1578434100000.0,0.019
1578437100000.0,0.0424
1578441000000.0,0.0458
1578442500000.0,0.0709
1578444300000.0,0.0574
1578445500000.0,0.0586
1578447900000.0,0.0501
1578450900000.0,0.0222
1578453900000.0,0.0302
1578459000000.0,0.028
1578465900000.0,0.0204
1578472500000.0,0.0362
1578479400000.0,0.031
1578488100000.0,0.0251
1578490500000.0,0.0038
1578492900000.0,-0.0056
1578496200000.0,-0.0078
1578499500000.0,-0.0182
1578501300000.0,-0.0358
1578501900000.0,-0.0208
1578503400000.0,-0.0288
1578505500000.0,-0.0353
1578511800000.0,-0.0485
1578514200000.0,-0.0416
1578516600000.0,-0.0359
1578521100000.0,-0.0412
1578527700000.0,-0.0382
1578531600000.0,-0.0389
1578541200000.0,-0.0454
1578550500000.0,-0.0355
1578558000000.0,-0.0233
1578563700000.0,-0.0276
1578569400000.0,-0.0201
1578576000000.0,-0.0177
1578584700000.0,-0.0123
1578588900000.0,-0.0249
1578593700000.0,-0.0114
1578600000000.0,-0.0284
1578603300000.0,-0.0176
1578605700000.0,-0.0189
1578613200000.0,-0.0137
1578624900000.0,-0.0251
1578636000000.0,-0.0171
1578643200000.0,-0.0184
1578648900000.0,-0.0209
1578653400000.0,-0.0103
1578656400000.0,0.0074
1578660600000.0,0.0128
1578664200000.0,0.0052
1578667200000.0,0.0278
1578669600000.0,0.0371
1578672300000.0,0.024
1578673800000.0,0.0182
1578676500000.0,0.0374
1578679800000.0,0.0404
1578682200000.0,0.0376
1578684600000.0,0.0391
1578689700000.0,0.0287
1578693600000.0,0.0345
1578700200000.0,0.0341
1578704400000.0,0.028
1578708900000.0,0.0115
1578716700000.0,-0.0024
1578724200000.0,0.0053
1578730200000.0,0.0162
1578738600000.0,0.002
1578745500000.0,0.0018
1578753900000.0,0.0135
1578760500000.0,0.0087
1578765900000.0,0.0191
1578778800000.0,-0.0067
1578780000000.0,-0.0144
1578784500000.0,-0.0198
1578789300000.0,-0.0057
1578800100000.0,-0.0004
1578814500000.0,0.0085
1578825300000.0,0.0089
1578838200000.0,0.0058
1578848700000.0,0.0047
1578850500000.0,0.0012
1578860700000.0,0.0049
1578873600000.0,-0.0133
1578886500000.0,-0.0043
1578901200000.0,0.0024
1578916800000.0,0.0069
1578930900000.0,0.0065
1578948300000.0,0.0064
1578961800000.0,0.0195
1578963300000.0,0.0233
1578964800000.0,0.0389
1578966600000.0,0.0339
1578971100000.0,0.0469
1578974700000.0,0.0405
1578978600000.0,0.0512
1578985800000.0,0.0564
1578995100000.0,0.0543
1579002000000.0,0.0508
1579005600000.0,0.0475
1579008900000.0,0.061
1579011600000.0,0.0457
1579012800000.0,0.0394
1579015500000.0,0.0163
1579017900000.0,0.0261
1579020300000.0,0.0207
1579021800000.0,0.0312
1579024200000.0,0.0333
1579026600000.0,0.0255
1579029000000.0,0.0188
1579035900000.0,0.0345
1579044300000.0,0.0245
1579046700000.0,0.0216
1579048800000.0,0.0135
1579052100000.0,0.008
1579058700000.0,0.0083
1579062300000.0,-0.0011
1579065300000.0,-0.0034
1579071600000.0,-0.0151
1579079100000.0,-0.0084
1579083600000.0,0.0015
1579088400000.0,0.0091
1579093200000.0,0.0102
1579096800000.0,0.0073
1579098000000.0,-0.0016
1579100700000.0,-0.0005
1579103400000.0,0.0047
1579105200000.0,0.0177
1579110300000.0,0.0183
1579116300000.0,0.017
1579122300000.0,0.0211
1579129800000.0,0.002
1579134300000.0,-0.0124
1579137900000.0,-0.0118
1579141800000.0,-0.0296
1579147500000.0,-0.0126
1579155600000.0,-0.014
1579163100000.0,-0.018
1579169400000.0,-0.0105
1579175100000.0,-0.0053
1579178700000.0,-0.0097
1579182900000.0,-0.0159
1579189200000.0,-0.0212
1579194300000.0,-0.0067
1579202100000.0,0.002
1579209900000.0,0.004
1579221300000.0,0.016
1579229700000.0,0.012
1579233900000.0,0.0179
1579240200000.0,0.0369
1579242000000.0,0.0207
1579244700000.0,0.0271
1579248900000.0,0.0328
1579253400000.0,0.0285
1579256700000.0,0.0293
1579261800000.0,0.0168
1579264200000.0,0.0174
1579270200000.0,0.0155
1579275300000.0,0.0142
1579280100000.0,0.0107
1579286400000.0,0.0004
1579290900000.0,-0.0041
