timestamp,stablecoin_exchange_inflow_total
1577750400000.0,89435667.14
1577763600000.0,61977961.92
1577787300000.0,17016810.6
1577803800000.0,38006588.44
1577806200000.0,33074956.71
1577814900000.0,50401857.68
1577830800000.0,49573298.56
1577849100000.0,22981540.66
1577877900000.0,62112009.55
1577894400000.0,14624808.6
1577919300000.0,95834808.35
1577936700000.0,60306073.26
1577949900000.0,74061208.56
1577960400000.0,96197140.59
1577973600000.0,74209834.07
1577983800000.0,54379445.09
1577985300000.0,91148939.92
1577993400000.0,81482897.47
1578011700000.0,15894765.9
1578018300000.0,32083070.52
1578025800000.0,64409379.75
1578027000000.0,96539551.44
1578031500000.0,84558110.59
1578040800000.0,68509024.99
1578042900000.0,99755338.18
1578047100000.0,53658203.73
1578054300000.0,54990522.03
1578060600000.0,61528810.99
1578067500000.0,83810645.75
1578070200000.0,37930911.51
1578077700000.0,81647245.52
1578085800000.0,13053747.8
1578094500000.0,17250740.56
1578112200000.0,22977917.0
1578127200000.0,51238560.73
1578141300000.0,45857852.42
1578156300000.0,10224003.71
1578163800000.0,26673143.88
1578169500000.0,68402733.41
1578185100000.0,54814685.0
1578188100000.0,12645871.01
1578195600000.0,96837216.43
1578208500000.0,43396523.56
1578218400000.0,19086648.31
1578231600000.0,97091696.22
1578244200000.0,23965066.03
1578260100000.0,74318173.46
1578267300000.0,80278194.65
1578276300000.0,77180510.46
1578279300000.0,86562306.85
1578282000000.0,94423667.17
1578291900000.0,38339422.78
1578305700000.0,98760407.44
1578315300000.0,44733410.81
1578319500000.0,13943731.72
1578327900000.0,89947797.11
1578344400000.0,89334049.16
1578349500000.0,37717390.1
1578351000000.0,39740735.76
1578353400000.0,82460099.5
1578355800000.0,85542884.61
1578357300000.0,63411123.52
1578358800000.0,34113535.34
1578363600000.0,33740459.24
1578371700000.0,37915253.97
1578380700000.0,70190247.81
1578391800000.0,78632118.71
1578398400000.0,69292987.69
1578402300000.0,94573345.75
1578408600000.0,34746089.19
1578412500000.0,97259858.68
