timestamp,stablecoin_exchange_reserve
1577750400000.0,1000000000.0
1577763600000.0,1000009692.83
1577787300000.0,999954582.08
1577803800000.0,1000011777.75
1577806200000.0,1000047529.59
1577814900000.0,1000031937.56
1577830800000.0,1000001748.99
1577849100000.0,1000006182.98
1577877900000.0,1000003118.2
1577894400000.0,1000022319.58
1577919300000.0,1000064094.43
1577936700000.0,1000083426.45
1577949900000.0,1000049860.72
1577960400000.0,1000074340.35
1577973600000.0,1000119299.74
1577983800000.0,1000183467.62
1577985300000.0,1000183453.28
1577993400000.0,1000199202.12
1578011700000.0,1000214654.39
1578018300000.0,1000155239.77
1578025800000.0,1000023555.54
1578027000000.0,1000025639.31
1578031500000.0,1000000511.5
1578040800000.0,999949112.48
1578042900000.0,999938389.17
1578047100000.0,999926319.68
1578054300000.0,999975179.21
1578060600000.0,999958700.21
1578067500000.0,999910910.4
1578070200000.0,999924127.11
1578077700000.0,999945569.67
1578085800000.0,999940062.1
1578094500000.0,999938996.83
1578112200000.0,999920459.1
1578127200000.0,999941735.6
1578141300000.0,999956705.81
1578156300000.0,999956822.3
1578163800000.0,999928683.55
1578169500000.0,999906743.24
1578185100000.0,999853192.53
1578188100000.0,999848194.72
1578195600000.0,999850434.73
1578208500000.0,999867677.45
1578218400000.0,999860836.41
1578231600000.0,999850850.65
1578244200000.0,999893004.01
1578260100000.0,999914387.96
1578267300000.0,999833077.46
1578276300000.0,999808317.96
1578279300000.0,999803079.05
1578282000000.0,999809295.87
1578291900000.0,999791894.94
1578305700000.0,999785057.42
1578315300000.0,999805977.05
1578319500000.0,999793844.55
1578327900000.0,999787686.64
1578344400000.0,999714325.05
1578349500000.0,999663250.85
1578351000000.0,999663645.02
1578353400000.0,999602130.64
1578355800000.0,999515538.2
1578357300000.0,999565840.58
1578358800000.0,999546303.93
1578363600000.0,999574415.5
1578371700000.0,999564535.34
1578380700000.0,999573590.34
1578391800000.0,999559735.48
1578398400000.0,999599086.82
1578402300000.0,999578295.53
1578408600000.0,999644373.35
1578412500000.0,999566930.65
1578414600000.0,999555553.61
1578417300000.0,999523637.61
1578421200000.0,999445336.98
1578422400000.0,999447001.3
1578424800000.0,999429383.86
1578429300000.0,999404171.65
1578431700000.0,999470155.08
1578434100000.0,999464960.5
1578437100000.0,999387046.61
1578441000000.0,999349171.33
1578442500000.0,999289879.75
1578444300000.0,999280036.89
1578445500000.0,999262704.8
1578447900000.0,999273015.56
1578450900000.0,999334223.4
1578453900000.0,999296060.15
1578459000000.0,999289400.04
1578465900000.0,999302332.37
1578472500000.0,999289244.14
1578479400000.0,999309870.63
1578488100000.0,999261601.54
1578490500000.0,999330316.56
1578492900000.0,999317745.9
1578496200000.0,999318795.26
1578499500000.0,999353663.83
1578501300000.0,999451855.15
1578501900000.0,999438092.17
1578503400000.0,999440291.7
1578505500000.0,999465687.17
1578511800000.0,999544751.36
1578514200000.0,999497177.98
1578516600000.0,999489227.38
1578521100000.0,999467681.39
1578527700000.0,999521175.01
1578531600000.0,999512465.12
1578541200000.0,999545559.14
1578550500000.0,999531026.41
1578558000000.0,999568515.49
1578563700000.0,999575990.01
1578569400000.0,999540695.49
1578576000000.0,999554149.89
1578584700000.0,999606064.19
1578588900000.0,999621496.19
1578593700000.0,999546158.75
1578600000000.0,999609514.98
1578603300000.0,999609233.72
1578605700000.0,999606952.22
1578613200000.0,999614151.73
1578624900000.0,999656625.61
1578636000000.0,999653967.65
1578643200000.0,999668209.37
1578648900000.0,999644991.37
1578653400000.0,999605872.55
1578656400000.0,999569098.84
1578660600000.0,999557716.86
1578664200000.0,999519925.32
1578667200000.0,999470291.85
1578669600000.0,999423541.58
1578672300000.0,999487174.64
1578673800000.0,999523273.17
1578676500000.0,999469651.54
1578679800000.0,999452109.11
1578682200000.0,999480442.09
1578684600000.0,999449675.29
1578689700000.0,999462321.78
1578693600000.0,999396673.76
1578700200000.0,999387327.88
1578704400000.0,999380099.41
1578708900000.0,999412879.14
1578716700000.0,999435381.15
1578724200000.0,999460838.5
1578730200000.0,999442102.72
1578738600000.0,999459802.33
1578745500000.0,999443129.04
1578753900000.0,999412725.49
1578760500000.0,999405981.91
1578765900000.0,999366982.9
1578778800000.0,999430056.04
1578780000000.0,999459200.58
1578784500000.0,999479283.51
1578789300000.0,999441583.45
1578800100000.0,999437400.38
1578814500000.0,999418222.9
1578825300000.0,999397366.06
1578838200000.0,999430962.7
1578848700000.0,999419828.99
1578850500000.0,999406479.07
1578860700000.0,999381406.24
1578873600000.0,999433405.94
1578886500000.0,999451334.87
1578901200000.0,999447001.3
1578916800000.0,999444557.6
1578930900000.0,999409192.88
1578948300000.0,999405417.28
1578961800000.0,999320538.66
1578963300000.0,999280934.71
1578964800000.0,999236536.96
1578966600000.0,999250195.68
1578971100000.0,999172035.37
1578974700000.0,999178945.55
1578978600000.0,999177655.4
1578985800000.0,999169183.83
1578995100000.0,999175427.73
1579002000000.0,999190689.54
1579005600000.0,999171531.7
1579008900000.0,999100167.66
1579011600000.0,999091860.84
1579012800000.0,999084097.22
1579015500000.0,999155178.08
1579017900000.0,999119888.08
1579020300000.0,999068606.06
1579021800000.0,999023043.78
1579024200000.0,999010915.24
1579026600000.0,999041839.72
1579029000000.0,999081646.24
1579035900000.0,999018270.62
1579044300000.0,999049143.61
1579046700000.0,998992240.62
1579048800000.0,999024379.94
1579052100000.0,999044031.48
1579058700000.0,999113776.79
1579062300000.0,999125258.28
1579065300000.0,999085662.8
1579071600000.0,999098649.48
1579079100000.0,999052773.83
1579083600000.0,999034278.67
1579088400000.0,999036313.22
1579093200000.0,998967222.38
1579096800000.0,999012815.47
1579098000000.0,999000253.27
1579100700000.0,999027093.17
1579103400000.0,999020736.18
1579105200000.0,999025124.94
1579110300000.0,999033805.78
1579116300000.0,999000581.52
1579122300000.0,998993088.21
1579129800000.0,999042690.06
1579134300000.0,999096439.42
1579137900000.0,999095481.84
1579141800000.0,999115444.35
1579147500000.0,999075598.72
1579155600000.0,999070453.74
1579163100000.0,999117141.42
1579169400000.0,999073427.53
1579175100000.0,999051550.13
1579178700000.0,999082302.02
1579182900000.0,999080219.93
1579189200000.0,999099238.23
1579194300000.0,999076098.57
1579202100000.0,999086514.86
1579209900000.0,999075322.96
1579221300000.0,999035424.07
1579229700000.0,999015471.34
1579233900000.0,998980857.27
1579240200000.0,998932621.32
1579242000000.0,998969977.88
1579244700000.0,998916183.63
1579248900000.0,998918248.61
1579253400000.0,998937492.21
